3_NDVI-C0/date,3_NDVI-C0/min,3_NDVI-C0/max,3_NDVI-C0/mean,3_NDVI-C0/stDev,3_NDVI-C0/sampleCount,3_NDVI-C0/noDataCount,3_NDVI-C0/median,3_NDVI-C0/p10,3_NDVI-C0/p90,3_NDVI-C0/cloudCoveragePercent
2022-12-16T00:00:00.000Z,-0.04043762758374214,1,0.6743052323308362,0.2677723870842961,52102,36251,0.8067744374275208,0.20494335889816284,0.8896216750144958,18.610813197905472
2022-12-18T00:00:00.000Z,-1,1,0.3198326797253259,0.3619419668456378,52102,32584,0.32023170590400696,-0.051812510937452316,0.7680397033691406,70.8781637462853
2022-12-21T00:00:00.000Z,-0.0864211693406105,1,0.14953372510589366,0.21492179321538227,52102,36052,0.06674329191446304,-0.03356289863586426,0.470573365688324,85.1775700934579
2022-12-23T00:00:00.000Z,-1,1,0.2840778902644415,0.29240455681967803,52102,32514,0.2714109718799591,-0.05270231515169144,0.6800736784934998,82.11660200122527
2022-12-26T00:00:00.000Z,-0.11248777061700821,1,0.2395291971605027,0.2942247499783733,52102,36235,0.1218109056353569,-0.03325621783733368,0.7172737121582031,65.40618894561015
2022-12-28T00:00:00.000Z,-0.4171122908592224,1,0.16635230708874285,0.23243923363207666,52102,32565,0.07565714418888092,-0.02013259567320347,0.5437437891960144,84.15314531401944
2022-12-31T00:00:00.000Z,-0.09576232731342316,1,0.2254413769619005,0.26912197140891736,52102,36167,0.12716899812221527,-0.02687249891459942,0.6404060125350952,71.79165359272028
2023-01-02T00:00:00.000Z,-1,1,0.553391688693778,0.33002961799523667,52102,32613,0.6864429712295532,0.03531438484787941,0.8386401534080505,30.858432962183713
2023-01-05T00:00:00.000Z,-1,1,0.6769697127863493,0.2407296439214101,52102,36074,0.7977083921432495,0.24971450865268707,0.8498635292053223,27.46443723483903
2023-01-07T00:00:00.000Z,-1,1,0.6309773581797461,0.31724252170306344,52102,32512,0.7510651350021362,0.13054564595222473,0.8360542058944702,13.854007146503248
2023-01-10T00:00:00.000Z,-0.06713719666004181,1,0.3517943161994409,0.27777344375996466,52102,36181,0.33318543434143066,-0.00044726720079779625,0.7028533816337585,47.46561145656672
2023-01-12T00:00:00.000Z,-1,1,0.30286338908396077,0.30672225663977515,52102,32881,0.2359921932220459,-0.024907885119318962,0.7311186194419861,62.051922376567205
2023-01-15T00:00:00.000Z,-0.14182475209236145,1,0.30419415236671554,0.29920025362029923,52102,35939,0.2342742532491684,-0.03228013962507248,0.7348515391349792,56.30142919012516
2023-01-17T00:00:00.000Z,-1,1,0.6400534826353289,0.28941102565584836,52102,32640,0.7575264573097229,0.10117361694574356,0.8276674747467041,8.925084780598091
2023-01-20T00:00:00.000Z,-0.05574662238359451,1,0.44799532797756625,0.3189610974323434,52102,36006,0.5504785180091858,0.028952965512871742,0.8109756112098694,38.85437375745516
2023-01-22T00:00:00.000Z,-0.04137931019067764,1,0.17852854778488803,0.15707032590045988,52102,32730,0.13461264967918396,0.01973458006978035,0.41595831513404846,97.56349370225111
2023-01-25T00:00:00.000Z,-0.15134796500205994,1,0.1639384579933709,0.2528367085342105,52102,36039,0.033814433962106705,-0.024867413565516472,0.5775941014289856,76.90344269439078
2023-01-27T00:00:00.000Z,-0.06414487212896347,1,0.2986371085896015,0.1846675889976375,52102,32528,0.2715555429458618,0.05572176352143288,0.5408377051353455,93.81322162051734
2023-01-30T00:00:00.000Z,-0.06143391877412796,1,0.19363451866652687,0.265820592133858,52102,36194,0.06460418552160263,-0.03528542444109917,0.6678043007850647,76.09378928840812
2023-02-01T00:00:00.000Z,-1,1,0.4872329173028392,0.37044383457646035,52102,32791,0.6945329904556274,-0.058955103158950806,0.7994228005409241,29.43400134638287
2023-02-04T00:00:00.000Z,-0.05414896830916405,1,0.6921978774303744,0.1899481243371453,52102,35999,0.770300567150116,0.3654501140117645,0.8199532628059387,14.357573123020623
2023-02-06T00:00:00.000Z,-0.5226414799690247,1,0.22145156709365885,0.28458360557295004,52102,32471,0.08301585912704468,-0.04898703098297119,0.7116757035255432,71.98818195710857
2023-02-09T00:00:00.000Z,-0.06868527084589005,1,0.718892380346373,0.16253873078647676,52102,36215,0.7727450132369995,0.5512152910232544,0.820185124874115,4.0662176622395725
2023-02-11T00:00:00.000Z,-1,1,0.5501362588334723,0.30821007704598363,52102,32631,0.6667498350143433,0.12095808237791061,0.7886528372764587,18.13979764778392
2023-02-14T00:00:00.000Z,-0.10432363301515579,1,0.44693134391408806,0.21175413364064008,52102,36141,0.45126354694366455,0.1717682033777237,0.7366037964820862,90.15099304554839
2023-02-16T00:00:00.000Z,-1,1,0.2262103756606154,0.25020973378678524,52102,32651,0.15067167580127716,-0.02628571353852749,0.6799781322479248,79.82623001388097
2023-02-19T00:00:00.000Z,-0.027252081781625748,1,0.7038638127430744,0.12555960357100915,52102,36089,0.7617090940475464,0.5622692108154297,0.8097913265228271,2.529195029038911
2023-02-21T00:00:00.000Z,-1,1,0.2043473016682862,0.2828994456727891,52102,32581,0.07745219767093658,-0.07807204872369766,0.5960476398468018,57.660980482557
2023-02-24T00:00:00.000Z,-0.109500452876091,1,0.5394401789125971,0.24143020322117228,52102,36218,0.5701326131820679,0.19894905388355255,0.7994186282157898,53.985142281540966
2023-02-26T00:00:00.000Z,-0.8388136625289917,1,0.038989318433482446,0.21683494323118688,52102,32539,0.002939181635156274,-0.11833979189395905,0.3547094166278839,89.47502939222046
